DATE,OAS
1/1/1997,3.03
2/1/1997,2.95
3/1/1997,2.7
4/1/1997,2.89
5/1/1997,2.73
6/1/1997,2.62
7/1/1997,2.72
8/1/1997,2.54
9/1/1997,2.59
10/1/1997,2.61
11/1/1997,2.86
12/1/1997,2.89
1/1/1998,3.02
2/1/1998,2.92
3/1/1998,2.83
4/1/1998,2.85
5/1/1998,3
6/1/1998,3.24
7/1/1998,3.34
8/1/1998,3.96
9/1/1998,5.61
10/1/1998,6.43
11/1/1998,5.7
12/1/1998,5.55
1/1/1999,5.55
2/1/1999,5.31
3/1/1999,5.24
4/1/1999,5.04
5/1/1999,4.7
6/1/1999,4.67
7/1/1999,4.8
8/1/1999,4.82
9/1/1999,5.04
10/1/1999,5
11/1/1999,5.08
12/1/1999,4.77
1/1/2000,4.78
2/1/2000,4.9
3/1/2000,5.37
4/1/2000,5.85
5/1/2000,5.9
6/1/2000,6.14
7/1/2000,6.12
8/1/2000,6.36
9/1/2000,6.45
10/1/2000,7.29
11/1/2000,8.09
12/1/2000,9.01
1/1/2001,8.46
2/1/2001,7.61
3/1/2001,7.92
4/1/2001,8.5
5/1/2001,7.69
6/1/2001,8.06
7/1/2001,8.26
8/1/2001,8.05
9/1/2001,9.24
10/1/2001,9.8
11/1/2001,8.79
12/1/2001,8.29
1/1/2002,8.15
2/1/2002,8.1
3/1/2002,7.33
4/1/2002,7.16
5/1/2002,7.03
6/1/2002,7.98
7/1/2002,9.36
8/1/2002,9.79
9/1/2002,9.85
10/1/2002,10.68
11/1/2002,9.65
12/1/2002,8.96
1/1/2003,8.18
2/1/2003,8.43
3/1/2003,8.04
4/1/2003,7.02
5/1/2003,6.64
6/1/2003,6.34
7/1/2003,5.86
8/1/2003,5.82
9/1/2003,5.36
10/1/2003,4.92
11/1/2003,4.62
12/1/2003,4.28
1/1/2004,3.94
2/1/2004,4.26
3/1/2004,4.4
4/1/2004,3.98
5/1/2004,4.25
6/1/2004,4.07
7/1/2004,4.01
8/1/2004,4.08
9/1/2004,3.87
10/1/2004,3.73
11/1/2004,3.29
12/1/2004,3.1
1/1/2005,3.2
2/1/2005,3.05
3/1/2005,2.98
4/1/2005,3.78
5/1/2005,4.23
6/1/2005,3.9
7/1/2005,3.49
8/1/2005,3.37
9/1/2005,3.64
10/1/2005,3.58
11/1/2005,3.62
12/1/2005,3.65
1/1/2006,3.55
2/1/2006,3.34
3/1/2006,3.25
4/1/2006,3.06
5/1/2006,3.02
6/1/2006,3.28
7/1/2006,3.37
8/1/2006,3.42
9/1/2006,3.43
10/1/2006,3.25
11/1/2006,3.14
12/1/2006,3
1/1/2007,2.76
2/1/2007,2.62
3/1/2007,2.86
4/1/2007,2.74
5/1/2007,2.57
6/1/2007,2.61
7/1/2007,3.35
8/1/2007,4.31
9/1/2007,4.42
10/1/2007,4.16
11/1/2007,5.31
12/1/2007,5.69
1/1/2008,6.8
2/1/2008,7.25
3/1/2008,8.08
4/1/2008,7.39
5/1/2008,6.69
6/1/2008,6.73
7/1/2008,7.75
8/1/2008,8.2
9/1/2008,9.19
10/1/2008,14.94
11/1/2008,17.96
12/1/2008,20.31
1/1/2009,16.73
2/1/2009,16.54
3/1/2009,17.84
4/1/2009,15.6
5/1/2009,12.51
6/1/2009,10.81
7/1/2009,10.27
8/1/2009,8.97
9/1/2009,8.45
10/1/2009,7.76
11/1/2009,7.56
12/1/2009,6.94
1/1/2010,6.23
2/1/2010,6.73
3/1/2010,6.12
4/1/2010,5.59
5/1/2010,6.5
6/1/2010,7.02
7/1/2010,6.78
8/1/2010,6.76
9/1/2010,6.42
10/1/2010,6.01
11/1/2010,5.87
12/1/2010,5.55
1/1/2011,5.12
2/1/2011,4.66
3/1/2011,4.84
4/1/2011,4.66
5/1/2011,4.85
6/1/2011,5.49
7/1/2011,5.43
8/1/2011,6.99
9/1/2011,7.68
10/1/2011,7.91
11/1/2011,7.61
12/1/2011,7.52
1/1/2012,6.84
2/1/2012,6.24
3/1/2012,5.96
4/1/2012,6.13
5/1/2012,6.31
6/1/2012,6.77
7/1/2012,6.36
8/1/2012,5.92
9/1/2012,5.61
10/1/2012,5.49
11/1/2012,5.71
12/1/2012,5.34
1/1/2013,4.92
2/1/2013,4.99
3/1/2013,4.8
4/1/2013,4.76
5/1/2013,4.38
6/1/2013,5.06
7/1/2013,4.82
8/1/2013,4.75
9/1/2013,4.64
10/1/2013,4.55
11/1/2013,4.32
12/1/2013,4.09
1/1/2014,3.97
2/1/2014,4.03
3/1/2014,3.81
4/1/2014,3.71
5/1/2014,3.75
6/1/2014,3.47
7/1/2014,3.65
8/1/2014,3.97
9/1/2014,4.06
10/1/2014,4.51
11/1/2014,4.46
12/1/2014,5.08
1/1/2015,5.29
2/1/2015,4.71
3/1/2015,4.66
4/1/2015,4.63
5/1/2015,4.51
6/1/2015,4.66
7/1/2015,5.11
8/1/2015,5.66
9/1/2015,5.87
10/1/2015,6.2
11/1/2015,6.14
12/1/2015,6.87
1/1/2016,7.63
2/1/2016,8.23
3/1/2016,6.98
4/1/2016,6.62
5/1/2016,6.26
6/1/2016,6.1
7/1/2016,5.65
8/1/2016,5.3
9/1/2016,5.15
10/1/2016,4.74
11/1/2016,4.89
12/1/2016,4.28
1/1/2017,4.01
2/1/2017,3.85
3/1/2017,3.9
4/1/2017,3.91
5/1/2017,3.74
6/1/2017,3.75
7/1/2017,3.69
8/1/2017,3.83
9/1/2017,3.72
10/1/2017,3.49
11/1/2017,3.68
