DATE,TAIEALLGCLCRT100EP
1985-01-01,39989.00
1985-04-01,42432.00
1985-07-01,41677.00
1985-10-01,45153.00
1986-01-01,48300.00
1986-04-01,50173.00
1986-07-01,50723.00
1986-10-01,52381.00
1987-01-01,50490.00
1987-04-01,50764.00
1987-07-01,51055.00
1987-10-01,53837.00
1988-01-01,52181.00
1988-04-01,51041.00
1988-07-01,59773.00
1988-10-01,64476.00
1989-01-01,65534.00
1989-04-01,66247.00
1989-07-01,68940.00
1989-10-01,75930.00
1990-01-01,69885.00
1990-04-01,69851.00
1990-07-01,70215.00
1990-10-01,70594.00
1991-01-01,66140.00
1991-04-01,69273.00
1991-07-01,67911.00
1991-10-01,69684.00
1992-01-01,73664.00
1992-04-01,71502.00
1992-07-01,67848.00
1992-10-01,73009.00
1993-01-01,71344.00
1993-04-01,74500.00
1993-07-01,80435.00
1993-10-01,87078.00
1994-01-01,85089.00
1994-04-01,89859.00
1994-07-01,94344.00
1994-10-01,110899.00
1995-01-01,114829.00
1995-04-01,116548.00
1995-07-01,114409.00
1995-10-01,132516.00
1996-01-01,121947.00
1996-04-01,131581.00
1996-07-01,138797.00
1996-10-01,150260.00
1997-01-01,144586.00
1997-04-01,162281.00
1997-07-01,154538.00
1997-10-01,164861.00
1998-01-01,154328.00
1998-04-01,157310.00
1998-07-01,152775.00
1998-10-01,166215.00
1999-01-01,159355.00
1999-04-01,147734.00
1999-07-01,145116.00
1999-10-01,157179.00
2000-01-01,161164.00
2000-04-01,168793.00
2000-07-01,177341.00
2000-10-01,193394.00
2001-01-01,165824.00
2001-04-01,170433.00
2001-07-01,158712.00
2001-10-01,182404.00
2002-01-01,176933.00
2002-04-01,181328.00
2002-07-01,197777.00
2002-10-01,204756.00
2003-01-01,187381.00
2003-04-01,188546.00
2003-07-01,199863.00
2003-10-01,240212.00
2004-01-01,224025.00
2004-04-01,229846.00
2004-07-01,266290.00
2004-10-01,296998.00
2005-01-01,289534.00
2005-04-01,293943.00
2005-07-01,297246.00
2005-10-01,304577.00
2006-01-01,271687.00
2006-04-01,283305.00
2006-07-01,290119.00
2006-10-01,317883.00
2007-01-01,286139.00
2007-04-01,302558.00
2007-07-01,315503.00
2007-10-01,344967.00
2008-01-01,320617.00
2008-04-01,319326.00
2008-07-01,350631.00
2008-10-01,379250.00
2009-01-01,346625.00
2009-04-01,343514.00
2009-07-01,332779.00
2009-10-01,368193.00
2010-01-01,651544.00
2010-04-01,632283.00
2010-07-01,621840.00
2010-10-01,635058.00
2011-01-01,599124.00
2011-04-01,600821.00
2011-07-01,596880.00
2011-10-01,613087.00
2012-01-01,579715.00
2012-04-01,589253.00
2012-07-01,590196.00
2012-10-01,611381.00
2013-01-01,580649.00
2013-04-01,587600.00
2013-07-01,590795.00
2013-10-01,597481.00
2014-01-01,567500.00
2014-04-01,583069.00
2014-07-01,583607.00
2014-10-01,610059.00
2015-01-01,576491.00
2015-04-01,592409.00
2015-07-01,600853.00
2015-10-01,642748.00
2016-01-01,614973.00
2016-04-01,641020.00
2016-07-01,652906.00
2016-10-01,681551.00
2017-01-01,643314.00
2017-04-01,669080.00
2017-07-01,687001.00
